solicitacao_bairro,processo_ocorrencia,confirmado,latitude,longitude,rain_hour,rain_day,altitude,ground_type,danger_level,flooding_risk,ground_amplitude,filtered_ocorrencia
64,6,1,-8.005971,-34.9262559,4.4,61.0,63.0,5,1,3,3,1
31,9,0,-8.1231298,-34.9413573,0.0,0.0,70.0,4,1,3,3,1
36,6,1,-7.9985791,-34.9163868,0.0,5.0,42.0,5,2,3,3,1
51,8,0,-8.1102316,-34.9198993,0.0,1.7,7.0,2,1,2,0,0
9,9,0,-8.0233364,-34.8871954,0.0,3.0,9.0,7,1,0,0,0
1,9,0,-8.0804125,-34.9110539,0.0,0.0,8.0,7,1,0,0,0
45,6,1,-8.1121235,-34.9459595,0.4,12.0,39.0,4,1,3,3,1
35,6,1,-8.0125362,-34.9558656,0.0,0.0,13.0,0,2,3,3,1
84,12,0,-8.0618637,-34.9360457,1.2,10.0,10.0,2,1,0,0,0
43,14,0,-8.0086272,-34.9361484,1.2,17.0,20.0,0,1,3,3,0
86,9,0,-8.0366754,-34.9624772,14.2,98.0,22.0,4,2,0,1,1
65,9,0,-8.0011878,-34.9356901,0.2,5.1,82.0,5,2,3,3,0
45,9,0,-8.125408,-34.9445133,0.0,7.0,36.0,4,1,3,3,0
55,9,0,-8.1340722,-34.9423642,0.0,1.0,70.0,4,2,3,3,0
12,9,0,-8.1000957,-34.8865746,0.0,12.0,9.0,2,1,0,0,0
10,6,1,-8.107347,-34.9542589,0.0,40.2,69.0,6,2,3,3,1
45,9,0,-8.1146075,-34.9519166,0.0,2.7,70.0,4,1,3,3,0
45,1,0,-8.107540199999999,-34.949931520289695,0.1,1.4,35.0,6,2,3,3,0
57,6,1,-8.0064277,-34.933751,0.0,0.0,42.0,5,1,3,3,1
87,9,0,-8.0207332,-34.9217363,0.0,39.0,19.0,0,1,3,3,0
64,12,0,-8.0041607,-34.9268896,0.0,9.0,46.0,5,0,3,3,0
53,9,0,-8.0777951,-34.9481521,0.1,5.1,9.0,6,1,0,1,1
36,6,1,-8.0037213,-34.9143027,1.8,80.2,58.0,5,2,3,3,1
1,1,0,-8.065392450000001,-34.90903718491158,,,7.0,7,1,0,0,0
36,1,0,-7.9917412,-34.9174881,0.0,19.0,24.0,5,1,3,3,0
87,1,0,-8.0073535,-34.9163898,,,41.0,0,2,3,3,0
