processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation,cluster,PROBABILITY
8015287721,-8.012184,-34.9015202,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,0.3,0.0,57.0,26,1.0
8012652621,-8.0099982,-34.8985233,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,2.6,0.0,68.0,26,0.7587765663612284
8001826821,-8.0010333,-34.9140408,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.2,0.0,55.0,27,1.0
8002117021,-8.0147172,-34.8967045,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,0.0,0.0,20.0,26,1.0
8031743321,-8.0185465,-34.9590977,A2,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.1,16.0,29,1.0
8002389021,-7.9986442,-34.9163793,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.0,42.0,27,1.0
8004969421,-7.999369,-34.9072795,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.8,0.1,19.0,27,1.0
8031058921,-8.120059,-34.9503909,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.3,38.0,24,1.0
8068158522,-8.1244201,-34.9566558,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,1.2,0.0,65.0,24,1.0
8035597121,-8.1245795,-34.941316,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.2,0.0,70.0,24,1.0
8060141821,-8.1277725,-34.9574945,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.1,0.1,44.0,22,0.6421809679789008
8066286622,-8.115979,-34.9571514,PV1,20 a 100m,10 a 30º,0 a 60%,Alta,21.9,0.0,47.0,9,0.8672993136008567
8068075222,-8.1043223,-34.951049,PV1,20 a 100m,10 a 30º,0 a 60%,Media,1.2,0.0,49.0,23,1.0
8067168722,-8.1371571,-34.9523896,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.6,0.0,25.0,22,1.0
8113660421,-8.0098709,-34.9130142,A2,20 a 100m,10 a 30º,0 a 60%,Media,3.4,0.0,34.0,-1,0.0
8068710022,-8.1232134,-34.9531899,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,8.0,0.1,66.0,24,1.0
8069279022,-8.1240173,-34.9574352,A2,20 a 100m,10 a 30º,0 a 60%,Media,8.1,0.0,65.0,-1,0.0
8077433522,-8.0058055,-34.8942073,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.5,0.4,16.0,27,0.8866254062969879
8071379922,-8.0051718,-34.8955938,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,49.1,4.0,16.0,-1,0.0
8061865822,-8.008517399999999,-34.8913824,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.4,1.6,25.0,27,0.6161141687289914
8049974721,-8.1313114,-34.9478268,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.7,0.3,19.0,24,0.8038082898545406
8038585222,-8.008517399999999,-34.8913824,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.9,0.6,25.0,27,1.0
8070297922,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,0.6,0.0,76.0,14,1.0
8053460421,-8.1364304,-34.9522784,A2,20 a 100m,10 a 30º,0 a 60%,Media,3.6,0.0,25.0,22,1.0
8050226021,-8.1236576,-34.9380323,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.2,0.1,68.0,24,1.0
8032346821,-8.008517399999999,-34.8913824,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,7.2,0.1,25.0,27,1.0
8030971221,-8.0085923,-34.8917937,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.2,53.0,27,0.6912510789095748
8071723122,-8.1230506,-34.9517461,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,11.6,0.2,32.0,24,1.0
8061792022,-8.1248366,-34.9548897,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,9.4,0.0,57.0,24,1.0
8071161322,-8.1139296,-34.9589485,PV1,20 a 100m,10 a 30º,0 a 60%,Media,49.1,2.2,38.0,-1,0.0
8059347322,-8.117872,-34.948607,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,50.0,24,1.0
8072070122,-8.1191708,-34.9563255,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,1.5,0.2,81.0,15,1.0
8081173422,-8.0144816,-34.9126281,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.3,55.0,43,0.6926060640785872
8079786222,-8.0123774,-34.9140328,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.4,0.0,68.0,39,0.9646925425960989
8068660222,-8.0035042,-34.9368831,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,8.0,0.1,57.0,27,1.0
8070996422,-8.0130757,-34.9132892,A2,20 a 100m,10 a 30º,0 a 60%,Media,49.1,1.2,55.0,-1,0.0
8061988222,-8.0141971,-34.9111101,A2,20 a 100m,10 a 30º,0 a 60%,Media,9.4,0.0,65.0,39,0.7944253200267094
8018320521,-8.1188883,-34.9533368,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.2,71.0,24,1.0
8059229022,-8.1190848,-34.9580373,PV1,20 a 100m,10 a 30º,0 a 60%,Alta,19.8,0.2,81.0,9,0.9713009516805347
8069183322,-8.0128858,-34.9145746,A2,20 a 100m,10 a 30º,0 a 60%,Media,8.1,0.0,55.0,43,0.6865581179524064
8059303622,-8.0111433,-34.913744,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.1,68.0,39,1.0
8066567522,-8.013362899999999,-34.9107472,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.0,0.0,65.0,39,0.8591656657873096
8069424022,-8.0133301,-34.913243,A2,20 a 100m,10 a 30º,0 a 60%,Media,8.1,0.0,55.0,43,0.7580909674964567
8058388822,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,19.8,3.1,76.0,-1,0.0
8056715122,-8.0131948,-34.9148128,A2,20 a 100m,10 a 30º,0 a 60%,Media,35.6,0.3,53.0,-1,0.0
8043387221,-8.1196872,-34.950483,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,17.8,0.6,38.0,24,1.0
8055949922,-8.108858999999999,-34.9515214,PV1,20 a 100m,10 a 30º,0 a 60%,Media,83.0,2.8,50.0,-1,0.0
8056784322,-8.1289135,-34.957634,A2,20 a 100m,10 a 30º,0 a 60%,Media,35.6,0.4,44.0,-1,0.0
8046120522,-8.0022411,-34.9136688,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.8,0.0,58.0,27,1.0
8080399922,-7.9971881,-34.9193495,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.5,0.0,71.0,27,1.0
8058819922,-8.017209,-34.9120292,A2,20 a 100m,10 a 30º,0 a 60%,Media,19.8,1.2,26.0,-1,0.0
8057655222,-8.0141971,-34.9111101,A2,20 a 100m,10 a 30º,0 a 60%,Media,12.7,0.1,65.0,39,0.7658908976736641
8063406022,-8.0025064,-34.937257,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,14.2,1.8,57.0,27,0.9652961766645468
8111206421,-8.0131948,-34.9148128,A2,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.1,53.0,43,1.0
8035199422,-8.003608,-34.9360001,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,2.5,0.0,57.0,27,1.0
8065174022,-7.999363199999999,-34.9161825,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.0,0.0,42.0,27,1.0
